Comment,Designator,Footprint,LCSC
STM32WLE5CBUx,U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,C1121847
68p,C4,C_0402_1005Metric,C14441
15p,C7,C_0402_1005Metric,C1548
10u,"C1,C10,C11,C12,C13,C14,C15,C2,C3",C_0402_1005Metric,C15525
2.7p,C6,C_0402_1005Metric,C1561
6.8p,C8,C_0402_1005Metric,C1576
RED,D1,LED_0603_1608Metric,C2286
33k,R4,R_0402_1005Metric,C25779
4k7,R3,R_0402_1005Metric,C25900
15n,L4,L_0402_1005Metric,C27143
10n,L2,L_0402_1005Metric,C27147
47n,C5,C_0402_1005Metric,C272875
32MHz,Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,C383840
470n,C9,C_0402_1005Metric,C47339
XC6206P332MR,U2,SOT-23,C5446
18n,L3,L_0402_1005Metric,C86060
BOOT,SW1,SW_1TS026A,C913778
68n,L1,L_0402_1005Metric,C98000
DNP,J1,PinHeader_1x05_P2.54mm_Horizontal,
~,TP2,TestPoint_Pad_D1.0mm,
DNP,R1,R_0402_1005Metric,
~,TP1,TestPoint_Pad_D1.0mm,
0R,R2,R_0402_1005Metric,
Antenna,AE1,whip_antenna,
Battery_Cell,BT1,MY-2032-12,
Conn_01x01_Pin,J2,small_pad,
tooling,H2,toolinghole,
tooling,H1,toolinghole,
